unique_order_id,customer_id,product_name,price,review_file,timestamp
1001,5001,Chocolate flavoured whey 1kg,1100,1.txt,2025-07-02 13:40:09
1002,5002,Chocolate flavoured whey 1kg,1300,2.txt,2025-06-30 01:44:41
1003,5003,Chocolate flavoured whey 1kg,1250,3.txt,2025-07-02 16:53:24
1004,5004,Chocolate flavoured whey 1kg,1300,4.txt,2025-06-29 15:29:25
1005,5005,Chocolate flavoured whey 1kg,1300,5.txt,2025-06-29 13:21:02
1006,5006,Chocolate flavoured whey 1kg,1100,6.txt,2025-06-27 12:36:57
1007,5007,Chocolate flavoured whey 1kg,1250,7.txt,2025-07-01 20:21:00
1008,5008,Chocolate flavoured whey 1kg,1100,8.txt,2025-07-02 04:35:40
1009,5009,Chocolate flavoured whey 1kg,1250,9.txt,2025-07-02 12:56:36
1010,5010,Chocolate flavoured whey 1kg,1300,10.txt,2025-06-30 12:45:43
1011,5011,Chocolate flavoured whey 1kg,1250,11.txt,2025-06-27 08:43:25
1012,5012,Chocolate flavoured whey 1kg,1300,12.txt,2025-06-30 12:02:19
1013,5013,Chocolate flavoured whey 1kg,1200,13.txt,2025-07-02 07:31:49
1014,5014,Chocolate flavoured whey 1kg,1250,14.txt,2025-06-27 04:10:51
1015,5015,Chocolate flavoured whey 1kg,1100,15.txt,2025-06-28 06:01:28
1016,5016,Chocolate flavoured whey 1kg,1100,16.txt,2025-07-01 13:51:04
1017,5017,Chocolate flavoured whey 1kg,1250,17.txt,2025-06-26 20:17:45
1018,5018,Chocolate flavoured whey 1kg,1200,18.txt,2025-06-30 08:12:20
1019,5019,Chocolate flavoured whey 1kg,1250,19.txt,2025-07-01 23:20:05
1020,5020,Chocolate flavoured whey 1kg,1250,20.txt,2025-06-26 12:46:36
1021,5021,Chocolate flavoured whey 1kg,1200,21.png,2025-06-29 12:06:12
1022,5022,Chocolate flavoured whey 1kg,1200,22.png,2025-06-28 12:41:00
1023,5023,Chocolate flavoured whey 1kg,1100,23.png,2025-06-30 00:08:33
1024,5024,Chocolate flavoured whey 1kg,1300,24.png,2025-07-01 06:10:49
1025,5025,Chocolate flavoured whey 1kg,1300,25.png,2025-06-26 05:24:20
1026,5026,Chocolate flavoured whey 1kg,1200,26.wav,2025-06-28 15:00:32
1027,5027,Chocolate flavoured whey 1kg,1200,27.wav,2025-06-28 06:51:25
1028,5028,Chocolate flavoured whey 1kg,1300,28.wav,2025-06-26 01:31:07
1029,5029,Chocolate flavoured whey 1kg,1100,29.wav,2025-06-30 04:45:59
1030,5030,Chocolate flavoured whey 1kg,1250,30.wav,2025-06-26 15:09:14
